persona_id,date,transport_mode,distance_km,origin,destination
car_001,2024-01-08,car,14.0,home,work
car_001,2024-01-08,car,14.2,work,home
car_002,2024-01-08,car,13.8,home,work
car_002,2024-01-08,car,14.3,work,home
hyb_001,2024-01-08,car,11.9,home,work
hyb_001,2024-01-08,car,12.2,work,home
hyb_002,2024-01-08,car,11.8,home,work
hyb_002,2024-01-08,car,11.8,work,home
pt_001,2024-01-08,subway,4.3,home,station
pt_001,2024-01-08,train,18.0,station,work
pt_001,2024-01-08,train,17.9,work,station
pt_001,2024-01-08,subway,4.2,station,home
pt_002,2024-01-08,subway,4.4,home,station
pt_002,2024-01-08,train,17.8,station,work
pt_002,2024-01-08,train,18.2,work,station
pt_002,2024-01-08,subway,4.0,station,home
car_001,2024-01-09,car,14.2,home,work
car_001,2024-01-09,car,14.4,work,home
car_002,2024-01-09,car,13.8,home,work
car_002,2024-01-09,car,14.2,work,home
hyb_001,2024-01-09,subway,4.0,home,station
hyb_001,2024-01-09,train,22.2,station,work
hyb_001,2024-01-09,train,22.3,work,station
hyb_001,2024-01-09,subway,3.7,station,home
hyb_002,2024-01-09,subway,3.8,home,station
hyb_002,2024-01-09,train,21.9,station,work
hyb_002,2024-01-09,train,21.6,work,station
hyb_002,2024-01-09,subway,3.9,station,home
pt_001,2024-01-09,subway,3.9,home,station
pt_001,2024-01-09,train,17.7,station,work
pt_001,2024-01-09,train,18.2,work,station
pt_001,2024-01-09,subway,4.2,station,home
pt_002,2024-01-09,subway,3.9,home,station
pt_002,2024-01-09,train,17.9,station,work
pt_002,2024-01-09,train,17.8,work,station
pt_002,2024-01-09,subway,3.9,station,home
car_001,2024-01-10,train,21.9,home,work
car_001,2024-01-10,train,21.8,work,home
car_002,2024-01-10,train,22.3,home,work
car_002,2024-01-10,train,21.8,work,home
hyb_001,2024-01-10,car,11.6,home,work
hyb_001,2024-01-10,car,11.8,work,home
hyb_002,2024-01-10,car,11.6,home,work
hyb_002,2024-01-10,car,12.3,work,home
pt_001,2024-01-10,subway,4.3,home,station
pt_001,2024-01-10,train,17.9,station,work
pt_001,2024-01-10,train,18.4,work,station
pt_001,2024-01-10,subway,4.2,station,home
pt_002,2024-01-10,subway,3.9,home,station
pt_002,2024-01-10,train,17.7,station,work
pt_002,2024-01-10,train,18.3,work,station
pt_002,2024-01-10,subway,4.1,station,home
car_001,2024-01-11,car,13.8,home,work
car_001,2024-01-11,car,14.4,work,home
car_002,2024-01-11,car,13.9,home,work
car_002,2024-01-11,car,13.8,work,home
hyb_001,2024-01-11,subway,4.0,home,station
hyb_001,2024-01-11,train,22.3,station,work
hyb_001,2024-01-11,train,21.7,work,station
hyb_001,2024-01-11,subway,3.9,station,home
hyb_002,2024-01-11,subway,3.9,home,station
hyb_002,2024-01-11,train,22.4,station,work
hyb_002,2024-01-11,train,22.4,work,station
hyb_002,2024-01-11,subway,4.0,station,home
pt_001,2024-01-11,subway,3.7,home,station
pt_001,2024-01-11,train,18.2,station,work
pt_001,2024-01-11,train,18.3,work,station
pt_001,2024-01-11,subway,3.9,station,home
pt_002,2024-01-11,subway,3.8,home,station
pt_002,2024-01-11,train,18.1,station,work
pt_002,2024-01-11,train,17.7,work,station
pt_002,2024-01-11,subway,4.3,station,home
car_001,2024-01-12,car,13.6,home,work
car_001,2024-01-12,car,13.7,work,home
car_002,2024-01-12,car,14.2,home,work
car_002,2024-01-12,car,13.9,work,home
hyb_001,2024-01-12,car,11.7,home,work
hyb_001,2024-01-12,car,12.2,work,home
hyb_002,2024-01-12,car,11.8,home,work
hyb_002,2024-01-12,car,12.0,work,home
pt_001,2024-01-12,subway,3.8,home,station
pt_001,2024-01-12,train,18.0,station,work
pt_001,2024-01-12,train,17.9,work,station
pt_001,2024-01-12,subway,4.4,station,home
pt_002,2024-01-12,subway,3.8,home,station
pt_002,2024-01-12,train,17.7,station,work
pt_002,2024-01-12,train,17.8,work,station
pt_002,2024-01-12,subway,3.7,station,home
car_001,2024-01-10,bus,5.1,home,supermarket
car_002,2024-01-11,walking,1.3,home,gym
car_001,2024-01-15,car,15.7,home,work
car_001,2024-01-15,car,15.8,work,home
car_002,2024-01-15,car,15.8,home,work
car_002,2024-01-15,car,15.9,work,home
hyb_001,2024-01-15,car,12.0,home,work
hyb_001,2024-01-15,car,11.8,work,home
hyb_002,2024-01-15,car,11.9,home,work
hyb_002,2024-01-15,car,12.2,work,home
pt_001,2024-01-15,subway,4.2,home,station
pt_001,2024-01-15,train,18.1,station,work
pt_001,2024-01-15,train,18.3,work,station
pt_001,2024-01-15,subway,4.0,station,home
pt_002,2024-01-15,subway,4.3,home,station
pt_002,2024-01-15,train,18.2,station,work
pt_002,2024-01-15,train,18.1,work,station
pt_002,2024-01-15,subway,3.7,station,home
car_001,2024-01-16,car,15.6,home,work
car_001,2024-01-16,car,15.7,work,home
car_002,2024-01-16,car,16.3,home,work
car_002,2024-01-16,car,16.3,work,home
hyb_001,2024-01-16,car,12.1,home,work
hyb_001,2024-01-16,car,11.7,work,home
hyb_002,2024-01-16,car,12.0,home,work
hyb_002,2024-01-16,car,11.8,work,home
pt_001,2024-01-16,subway,4.1,home,station
pt_001,2024-01-16,train,18.2,station,work
pt_001,2024-01-16,train,17.7,work,station
pt_001,2024-01-16,subway,3.7,station,home
pt_002,2024-01-16,subway,3.7,home,station
pt_002,2024-01-16,train,18.4,station,work
pt_002,2024-01-16,train,18.0,work,station
pt_002,2024-01-16,subway,4.4,station,home
car_001,2024-01-17,car,16.1,home,work
car_001,2024-01-17,car,16.1,work,home
car_002,2024-01-17,car,16.0,home,work
car_002,2024-01-17,car,16.0,work,home
hyb_001,2024-01-17,car,11.9,home,work
hyb_001,2024-01-17,car,11.7,work,home
hyb_002,2024-01-17,car,11.6,home,work
hyb_002,2024-01-17,car,11.6,work,home
pt_001,2024-01-17,subway,4.1,home,station
pt_001,2024-01-17,train,18.1,station,work
pt_001,2024-01-17,train,18.1,work,station
pt_001,2024-01-17,subway,3.8,station,home
pt_002,2024-01-17,subway,3.8,home,station
pt_002,2024-01-17,train,17.8,station,work
pt_002,2024-01-17,train,17.7,work,station
pt_002,2024-01-17,subway,3.9,station,home
car_001,2024-01-18,car,16.2,home,work
car_001,2024-01-18,car,16.1,work,home
car_002,2024-01-18,car,16.3,home,work
car_002,2024-01-18,car,16.2,work,home
hyb_001,2024-01-18,car,11.8,home,work
hyb_001,2024-01-18,car,12.1,work,home
hyb_002,2024-01-18,car,12.0,home,work
hyb_002,2024-01-18,car,11.9,work,home
pt_001,2024-01-18,subway,4.2,home,station
pt_001,2024-01-18,train,18.3,station,work
pt_001,2024-01-18,train,17.7,work,station
